term,category,roman_variants,notes
Crore,financial,"Crore,Karor",10,000,000 (unit)
Million,financial,"Million,Dus lakh",1,000,000
Furnished,condition,"Furnished,Sajaa hua",With furniture
Unfurnished,condition,"Unfurnished,Khaali",Without furniture
Ready,status,"Ready,Tayyar",Completed
Under construction,status,"Under construction,Taameer mein",Being built
New,condition,"New,Naya",Brand new
Used,condition,"Used,Istamal shuda",Pre-owned
Location,general,"Location,Jagah,Maqaam",Place/position
Price,general,"Price,Qeemat,Daam",Cost
Contact,general,"Contact,Rabta karna",Get in touch
Details,general,"Details,Tafseel",More information
Available,status,"Available,Mojood,Mil sakta hai",In stock
Not available,status,"Not available,Nahi hai",Out of stock
Agent,role,"Agent,Dalaal,Property dealer",Real estate agent
Owner,role,"Owner,Maalik",Property owner
Builder,role,"Builder,Developer,Contractor",Construction company
Bahria Town Lahore,developer,"Bahria Lahore,BT Lahore",Major developer
DHA Lahore,developer,"DHA LHR,Defence Lahore",Defence Lahore
Emaar,developer,"Emaar,Emaar Pakistan",International developer
Eighteen,developer,"Eighteen,18",Islamabad project
Capital Smart City,developer,"Capital Smart City,CSC",Smart city project
Blue World City,developer,"Blue World,BWC",Housing project
Nova City,developer,"Nova City,Nova",Islamabad project
Park View City,developer,"Park View,PVC",Housing society
Fazaia Housing,developer,"Fazaia,Faizia",Air Force housing
Askari,developer,"Askari",Army housing
Main boulevard,road_type,"Boulevard,Main road",Major road
Street,road_type,"Street,Gali",Small road
Avenue,road_type,"Avenue,Ave",Medium road
Ring road,road_type,"Ring road,Outer road",Peripheral road
Metro,transport,"Metro,Metro bus",Public transport
Motorway,transport,"Motorway,M1,M2",Highway
Airport,transport,"Airport,Hawai adda",Air terminal
Mall,amenity,"Mall,Shopping center",Shopping complex
Hospital,amenity,"Hospital,Clinic",Medical facility
School,amenity,"School,Madrasah",Educational institution
Masjid,amenity,"Masjid,Mosque",Place of worship
Park,amenity,"Park,Garden,Bagh",Public park
Market,amenity,"Market,Bazaar",Shopping area
Restaurant,amenity,"Restaurant,Hotel",Eating place
Bank,amenity,"Bank",Financial institution
Possession,legal,"Possession,Qabza",Ownership transfer
Registry,legal,"Registry,Intiqal",Legal transfer
NOC,legal,"NOC,No objection",Clearance certificate
Fard,legal,"Fard,Land record",Ownership document
Payment plan,financial,"Payment plan,Qiston par",Installment option
Booking,transaction,"Booking,Reserve karna",Reserve property
Token,financial,"Token,Token money",Reservation fee
Demand,financial,"Demand,Mangna",Asking price
Final price,financial,"Final price,Aakhri qeemat",Settled price
Negotiable,financial,"Negotiable,Baat cheet se",Open to discussion
